video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=qZE45J-MIUg&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@WolfgangsChannel,Wolfgang's Channel,Online Privacy & Security 101: How To Actually Protect Yourself?,192K,2 years,Music: Lasii – Time Travel Vladislav Kurnikov – Saturday Morning Timestamps: 0:00:00 Introduction 0:01:50 1. Don't reuse ...,57:17.1
/watch?v=vc7_TKN0kfw&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@NBCNews,NBC News,There’s Virtually Nothing You Can Do To Protect Your Online Privacy,46K,1 year,"In the wake of Roe v. Wade being overturned, online privacy is on everyone's minds. But according to privacy experts, the entire ...",57:17.1
/watch?v=FQXlVaAPS20&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@AllThingsSecured,All Things Secured,6 Must-Have Security Gadgets That Fit in Your Pocket,1.3M,2 years,Strong security comes in small packages! Take a peek inside my private security toolbox to see the kinds of devices I use to keep ...,57:17.1
/watch?v=JKxWh2QZo3Q&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@AllThingsSecured,All Things Secured,The Privacy & Security Changes You MUST Make in 2023!,87K,11 months,All the changes in online security and the threats we face require a different approach. Here's what you need to know to win the ...,57:17.1
/watch?v=W05Qdgv_jkg&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@JasonHansonSpyBriefing,Jason Hanson,Here's How to Protect Your Privacy Online & Offline..,10K,7 months,Use this Code to Get 20% OFF: HANSON #sponsored Join our Patreon Community Today to get access to exclusive perks!,57:25.1
/watch?v=ufBscQHlwds&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@yourhopecity,Hope City,Day 21 of 21: Prayer for Protection with Rodney,373,6 hours,"Join us on the journey that is, 21 days. https://hopecity.com/21days Missed a day? Catch up with our *21 DAYS OF PRAYER AND ...",57:25.1
/watch?v=sdpxddDzXfE&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@novapbs,NOVA PBS Official,How to Protect Your Data Online,919K,9 years,"The Internet is fundamentally insecure. However, there are simple things you can do to protect yourself and your information.",57:25.1
/watch?v=JXzfPyLo33E&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@AllThingsSecured,All Things Secured,7 FREE Online Security Tools to Protect from Identity Theft & Hacking,15K,3 years,"Securing your online identity and data shouldn't cost you an arm and a leg, despite all the good marketing you'll see. These are 7 ...",57:25.1
/watch?v=2z3XOgisCE4&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@gracesaveslives,Grace Saves,ACN IDseal #Identity #Theft Protection.  Another 26 Billion Record Leak ( The Mother of ALL #Breach),7,2 days,... Monitoring Smart Social Security Number Tracking Change of Address Monitoring Dark Web Protection & Alerts Financial Fraud ...,57:25.1
/watch?v=yiKeLOKc1tw&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@SmileandLearnEnglish,Smile and Learn - English,Online Privacy for Kids - Internet Safety and Security for Kids,596K,3 years,"Social media is a great tool to communicate with our family and friends but it's important to be mindful of what we post, where we ...",57:25.1
/watch?v=aO858HyFbKI&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@Kaspersky,Kaspersky,11 Internet Safety Tips for Your Online Security,71K,1 year,"Watch this video to learn how to protect yourself online. Follow these rules to not get a victim of phishing, scams, ransomware and ...",57:25.1
/watch?v=qFxCgQiHuDg&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@TwoCentsPBS,Two Cents,Can You Really Protect Your Identity Online?,118K,5 years,"There's nothing quite as scary as a tale of a malicious identity hack! From Facebook to Equifax, it seems like nobody's identity is ...",57:25.1
/watch?v=-ni_PWxrsNo&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@InsiderTech,Insider Tech,Former NSA Hacker Reveals 5 Ways To Protect Yourself Online,1.1M,5 years,"In a time where companies, celebrities, and even governments are coming under cyber-attacks, getting hacked might seem ...",57:25.1
/watch?v=xBDhdOePNnk&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@Nordvpn,NordVPN,Children’s online privacy protection explained | NordVPN,2.5K,3 years,"**** After all, kids can encounter a wide variety of internet threats. These range from corporations using their personal data for ...",57:25.1
/watch?v=kB0uSGkV2tk&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@CSR,Consumer Research Studios,Online Privacy and Security | How to Actually Protect Yourself,1.1K,5 months,Online Privacy and Security | How to Actually Protect Yourself. Stay secure by exploring the best virus protection solutions.,57:25.2
